                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,unique,pop_2023,pop_2020,pop_estimate_2021,pop_over_500k_2021,home_2023,img_rate,imgrate10,immigration_2020,poverty_2020,pov_over_10,violent_crime_rate_2019,vcrime10,ESTIMATESBASE2020,pop_estimate_2020,pop_estimate_2021,NPOPCHG2020,NPOPCHG2021,births_2020,births_2021,deaths_2020,deaths_2021,NATURALCHG2020,NATURALCHG2021,int_mig_2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,shrinking,RESIDUAL2020,RESIDUAL2021,total_pop,total_male_pop,total_female_pop,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
0,"Abilene, TX MSA","181,591","176,579",177314,0,240.1,1.00,1,"177,000",13.3,1,458,0,176579,176809,177314,230,505,569,2108,510,2133,59,-25,5,73,162,436,167,509,0,4,21,"176,562","89,602",86960,75605,75229,8994,6271,914,926,1496,2016,120,119,2473,2399,77847,77399,10248,7566,1584,1595,2229,2675,260,234,67979,66967,56233,57284,8132,5486,359,399,1341,1909,70,68,1844,1821,57927,58930,9091,6494,793,841,1919,2457,162,152,21623,19993,19372,17945,862,785,555,527,155,107,50,51,629,578,19920,18469,1157,1072,791,754,310,218,98,82
1,"Akron, OH MSA","698,398","702,219",700015,1,196.4,1.00,1,"701,000",12.5,1,2616,1,702219,701305,700015,-914,-1290,1676,6883,2232,8723,-556,-1840,31,526,-365,-98,-334,428,0,-24,122,"702,225","343,139",359086,278663,287731,41992,48119,684,768,12807,13076,175,144,8818,9248,286940,296320,47633,54132,2841,3149,14824,15155,410,372,334895,350666,272078,281103,41153,47194,538,584,12698,12975,116,96,8312,8714,279886,289218,46467,52870,2503,2769,14633,14958,327,282,8244,8420,6585,6628,839,925,146,184,109,101,59,48,506,534,7054,7102,1166,1262,338,380,191,197,83,90
2,"Albany Schenectady Troy, NY MSA","904,682","899,262",899286,1,328.6,1.00,1,"902,000",10.1,1,2266,1,899262,898561,899286,-701,725,2110,8239,2282,9721,-172,-1482,8,504,-510,1572,-502,2076,0,-27,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Albany, GA MSA","145,508","148,922",147773,0,,0.99,1,"148,000",23.3,1,1071,1,148922,148417,147773,-505,-644,424,1758,539,1835,-115,-77,0,24,-391,-608,-391,-584,1,1,17,"148,915","70,605",78310,31363,32228,37001,43730,275,218,869,972,136,105,961,1057,32167,33095,37611,44426,562,528,1085,1206,188,171,68458,76410,29892,30972,36662,43353,175,155,836,929,52,42,841,959,30585,31750,37207,43991,418,425,1032,1152,99,104,2147,1900,1471,1256,339,377,100,63,33,43,84,63,120,98,1582,1345,404,435,144,103,53,54,89,67
4,"Albany, OR MSA","131,496","128,610",129839,0,,0.04,0,"5,000",12.3,1,175,0,128610,128936,129839,326,903,380,1430,401,1640,-21,-210,-1,7,352,1099,351,1106,0,-4,7,"128,611","64,022",64589,59114,59545,624,439,1104,1182,683,952,158,146,2339,2325,61332,61756,1089,878,2387,2478,1325,1603,358,341,57469,58570,53550,54481,476,300,765,812,623,878,128,113,1927,1986,55389,56378,873,681,1754,1865,1191,1467,302,291,6553,6019,5564,5064,148,139,339,370,60,74,30,33,412,339,5943,5378,216,197,633,613,134,136,56,50
5,"Albuquerque, NM MSA","922,296","916,528",918259,1,353.3,0.09,0,"84,000",15.5,1,9580,1,916528,917179,918259,651,1080,2254,8857,2377,9860,-123,-1003,56,713,736,1283,792,1996,0,-18,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Alexandria, LA MSA","148,171","152,192",150890,0,,1.00,1,"152,000",18.4,1,1291,1,152192,151736,150890,-456,-846,423,1820,486,2021,-63,-201,0,41,-395,-706,-395,-665,1,2,20,"152,184","75,544",76640,50324,50316,21963,23100,825,726,985,984,44,39,1403,1475,51567,51619,22710,23857,1387,1366,1277,1287,102,100,71733,74078,47139,48299,21682,22884,651,573,962,946,31,29,1268,1347,48262,49489,22365,23580,1152,1143,1228,1229,80,83,3811,2562,3185,2017,281,216,174,153,23,38,13,10,135,128,3305,2130,345,277,235,223,49,58,22,17
7,"Allentown-Bethlehem-Easton, PA-NJ","873,555","861,889",865310,1,,0.10,1,"87,000",10.5,1,,0,861889,861705,865310,-184,3605,2052,8206,2367,9672,-315,-1466,43,782,123,4195,166,4977,0,-35,94,"861,910","425,847",436063,362932,372999,34959,34728,3025,2906,14139,14173,646,590,10146,10667,372343,382865,41610,41922,5309,5363,16595,16626,1025,987,346919,357528,301718,312852,24016,23365,577,570,13507,13504,155,143,6946,7094,308201,319433,28281,27810,1891,2004,15505,15473,403,398,78928,78535,61214,60147,10943,11363,2448,2336,632,669,491,447,3200,3573,64142,63432,13329,14112,3418,3359,1090,1153,622,589
8,"Altoona, PA MSA","120,273","122,822",121767,0,,0.00,0,,13.8,1,406,0,122822,122518,121767,-304,-751,280,1167,477,1868,-197,-701,0,6,-98,-78,-98,-72,1,-9,22,"122,827","60,706",62121,57639,59474,1514,1153,125,91,414,461,24,12,990,930,58586,60356,2149,1777,316,269,615,642,48,37,59795,61345,56927,58891,1420,1073,96,70,396,442,20,9,936,860,57823,59708,2020,1644,272,233,589,615,44,33,911,776,712,583,94,80,29,21,18,19,4,3,54,70,763,648,129,133,44,36,26,27,4,4
9,"Amarillo, TX MSA","272,395","268,691",269703,0,222.9,0.10,0,"26,000",14.4,1,1584,1,268691,268820,269703,129,883,823,3131,753,2985,70,146,-1,139,53,630,52,769,0,7,-32,268683,135231,133452,114964,116159,10846,8185,1616,1501,4709,4576,155,138,2941,2893,117711,118843,12287,9605,2602,2514,5374,5229,293,247,95467,95283,78244,80870,9896,7168,694,675,4435,4317,59,75,2139,2178,80245,82891,10966,8273,1318,1364,4983,4844,152,149,39764,38169,36720,35289,950,1017,922,826,274,259,96,63,802,715,37466,35952,1321,1332,1284,1150,391,385,141,98
